year,month,day,hour,IB,lat,lon,station_id,LO,ww,N,Nh,h,CL,CM,CH,AM,AH,UM,UH,IC,SA,RI,SLP,WS,WD,AT,DD,EL,IW,IP
1982,1,1,0,0,49.58,15.77,11659,1,10,8,8,8,0,2,-1,8.0,9.0,8,0,0,-60.9,-0.02,1005.1,3.1,90,1.4,0.5,530,9,9
1982,1,1,6,1,49.58,15.77,11659,1,-1,2,2,7,5,0,0,0.0,0.0,0,0,0,-8.2,-0.02,1006.4,1.0,130,2.2,0.4,530,9,9
1982,1,1,12,1,49.58,15.77,11659,1,-1,7,-1,9,0,4,5,9.0,9.0,9,9,2,16.2,0.0,1007.6,2.1,110,3.3,2.4,530,9,9
1982,1,1,18,0,49.58,15.77,11659,1,10,8,8,9,0,2,-1,8.0,9.0,8,0,0,-26.7,0.02,1007.9,2.1,90,2.7,0.4,530,9,9
1982,1,2,0,0,49.58,15.77,11659,1,45,8,8,0,11,-1,-1,9.0,9.0,0,0,1,-60.9,-0.02,1012.0,2.1,250,-0.9,0.3,530,9,9
1982,1,2,6,1,49.58,15.77,11659,1,45,8,8,0,11,-1,-1,9.0,9.0,0,0,1,-8.2,-0.04,1016.2,2.1,290,0.8,0.0,530,9,9
1982,1,2,12,1,49.58,15.77,11659,1,10,8,8,6,7,-1,-1,9.0,9.0,0,0,0,16.3,0.01,1020.0,3.1,290,1.8,0.3,530,9,9
1982,1,2,18,0,49.58,15.77,11659,1,-1,8,8,5,5,-1,-1,9.0,9.0,0,0,0,-26.6,0.04,1022.8,7.2,270,1.7,2.9,530,9,9
1982,1,3,0,0,49.58,15.77,11659,1,-1,6,6,6,5,0,0,0.0,0.0,0,0,0,-60.8,-0.02,1023.4,2.1,260,1.1,2.3,530,9,9
1982,1,3,6,1,49.58,15.77,11659,1,61,8,8,4,7,10,-1,8.0,9.0,0,0,8,-8.2,-0.06,1014.6,2.1,130,1.6,2.1,530,9,9
1982,1,3,12,1,49.58,15.77,11659,1,2,8,8,4,7,-1,-1,9.0,9.0,0,0,0,16.4,0.01,1018.4,3.1,250,3.4,0.6,530,9,9
1982,1,3,18,0,49.58,15.77,11659,1,10,2,0,9,0,0,2,0.0,2.0,0,2,0,-26.4,0.08,1017.5,2.1,180,3.8,0.5,530,9,9
1982,1,4,6,1,49.58,15.77,11659,1,10,0,0,-1,0,0,0,0.0,0.0,0,0,0,-8.2,-0.09,1013.4,6.2,90,0.0,0.5,530,9,9
